id,name,default_weight
fa3919c4-00b2-4a0b-8d15-f5c59cd42dba,EZ Curl Bar,10
5d9556b5-73f8-4bfd-8f4e-35c3aa6d4074,EZ Curl Bar,25
8fcab968-1e22-49d7-b800-558d1cbca011,Olympic Bar,20
aaeefdf6-8311-4c79-bffb-6321503d9a58,Olympic Bar,45
0681e23a-9e27-4338-b1f3-ef0fa5e2dff6,Olympic Bar 20 kg,20
a08bf537-cafa-45b8-9c21-01798931969e,Safety Squat Bar,25
5b40b71b-bb03-4aec-abe1-082f8fb1b023,Technique Bar 7 kg,7
fa3ff266-15a8-4f03-b3e7-1a59a03642e1,Trap Bar,25
f9350ae1-35cc-4fc0-a4d0-713bb09b3f71,Trap/Hex Bar 25 kg,25
fce244f6-cb06-4525-8662-6069f546e51e,Women's Bar 15 kg,15